Orthogroup	Female-whole-body	Male-whole-body	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	Flagelliform-gland	Aggregate-gland	Aciniform-Pyriform-gland	Hemolymph	Pedipalp	Leg	Epidermis	Venom-gland	Fat-body	Ovary	Duct	Sac	Tail
OG0000456	7.026699332000001	2.2740086660000003	0.585066333	1.561240333	1.8348303339999998	1.122927666	0.30925366600000004	15.439477001	1.2337533340000002	8.536276999	6.498104332000001	5.364348334	3.119886999	0.601172334	5.111829334	2.323333333	1.7500000000000002	0.08
OG0000457	21.303672997	12.478138669	30.78781333	75.20600266400001	52.591151003	11.369629667000002	19.389616	165.173716303	13.082214333	22.999430671	21.520910333000003	14.510697667	8.715629333999999	24.159558333	54.061611662999994	16.220000003000003	8.89	15.54333333
OG0000458	4.660494333	0.843208667	0.908222667	1.287178333	1.065340667	1.751129667	0.808151667	6.884346667	2.628528333	3.545261	4.076356	1.430211333	1.04034	1.216466667	1.562052	0.376666667	0.356666667	0.273333333
OG0000459	11.740840997	8.536689334	9.819454333	9.570986667	9.532425	8.476287	5.863943667	9.231019333	15.195518663	11.926634	12.92064567	5.7246310000000005	3.415499667	2.386228334	24.792620999999997	14.503333333	7.023333333	3.616666667
OG0000460	100.954071	5.793037333	4.767048333	21.529976002999998	2.2434663329999998	0.268607667	0.727298667	19.699734	0.365882667	58.61292	49.16982167	204.007415033	0.717132333	0.158606	655.838512367	31.406666667	5.78	0.323333333
OG0000461	105.071772339	70.29640233	70.955169674	59.944037333	94.88204199	65.402565001	52.269980333999996	84.73094500399999	178.19672566999998	95.33158000299998	86.336709004	54.71892466	44.921911997	9.884655334000001	95.508978333	64.136666669	35.096666663	15.163333332999999
OG0000462	1423.63050034	1152.55474367	1669.778488	1305.8472230000002	1254.36347067	826.1717806400001	1088.08753167	1434.14466134	2264.00288967	1601.30487633	1265.0935083299998	983.748782	675.3242250000001	591.7680733	379.01658396999994	700.8566666370001	275.72666670300003	263.84333337
OG0000463	107.10274999999999	16.850825	13.435541	27.751553994000002	22.354851999999998	17.656742667	14.264021	63.04650666699999	9.705543333	67.21315	85.128373663	414.44814997000003	290.84038398	0.817055334	2.040108	16.246666667	8.553333334	3.7233333339999994
OG0000464	7.367682667	7.519881666	7.219922	4.408840666	8.515490667	5.195698001	3.6611576660000003	6.345596333	13.256396667	6.664633666	6.0709863330000005	3.197848667	2.436784667	1.009980667	7.159375	4.783333333	2.833333333	2.06
OG0000465	34.991698003	1375.089415	1570.347307667	86.246781997	2.715433667	1.032554667	0.743589667	53.83422934	543.719689	41.04818467	29.011622003000003	18.906491	0.6158800000000001	0.068612333	36.512878333	51.193333337	359.696666667	1.9200000000000002
OG0000466	10.160849666999999	9.582456667999999	14.972936663999999	14.333231997	14.695006667000001	11.362502667000001	19.02745767	12.689177995999998	21.318312662999997	11.056058337	14.04507067	4.4701450000000005	5.0096030009999994	11.926790337	9.227665	14.316666666	13.256666671	9.956666667
OG0000467	23.483001333999997	9.880803	13.761405666999998	15.624147	13.055834333	16.373678333	7.469538001	25.737552667000003	27.982191002999997	27.284692337	25.979433999999998	24.177174996999998	9.387850666	9.677672667	35.900748336999996	11.44	4.29	2.85
OG0000468	368.27043437	151.98777429700002	59.821079334	125.059241	134.084032337	112.96966300099999	84.13656433	329.473024694	2781.426850334	550.946729303	283.609141	90.382805663	45.006234667	174.54442267400003	17.321478000000003	41.440000003	89.81333333700002	41.913333328
OG0000469	137.33960636700002	73.574336003	56.00171133	52.53879533	53.85671467	54.899590997	71.612212	66.42530067	82.33272533	137.56910963299998	121.5654043	155.5442823	77.00637067	90.859772	32.71930633	53.893333330000004	41.28666667	25.72666667
OG0000470	0.0	0.006689667	0.0	0.0	0.0	0.003602	0.0	0.46985533300000004	0.0	0.0	0.0	0.017405	0.0	0.19342766700000003	0.0	0.0	0.0	0.01
OG0000471	9.425488	8.901572666	7.524082666	6.030309333	6.900266667	3.786372	6.301142	9.059811	8.294551333000001	10.619773666	8.129835	3.825985	2.194947667	1.158298667	7.453994666	3.25	2.103333333	1.943333333
OG0000473	29.783651667	0.161056667	1.316993333	259.20559237000003	1.007455	0.698171667	1.1009039999999999	25.389279332999998	2.255959	77.60712934099999	60.71977733	108.03312999399999	4.700279666	0.020119	7.3217106659999995	0.9833333329999999	0.033333334	0.0
OG0000474	1520.945522966	836.4927440289999	913.8944997	1735.266449633	1359.062189667	579.423710303	653.5001450030001	640.608329333	4443.546089336	1339.2708300010001	1084.4804287000002	945.067471036	636.093886967	728.493898636	513.9891369999999	306.51666669699995	220.783333334	207.636666664
OG0000475	90.15417099999999	49.705541669999995	60.323566997	30.228200667	115.27502700699999	68.814014667	49.64258101	18.241273333000002	114.45624133	53.90351333699999	84.82136733700001	35.578174996	32.420266330000004	4.7899593330000005	45.218524336	46.576666667	30.823333333999997	22.276666667
OG0000476	10.088163333999999	4.336898667	14.675067666999999	2.361932334	9.177931667000001	158.76355532	11.229591	48.955257339	0.387393001	12.741511667	5.980883	5.425159000000001	5.546068999999999	47.864676337000006	0.8386440000000001	1.743333334	0.423333333	0.5433333330000001
OG0000477	15.894945333	13.844634333	17.545192333	16.602548334	23.926734670000002	14.404892334	12.345680665999998	14.972092666999998	39.14198933	16.843385666000003	16.564586666	17.244876666	15.414038999999999	7.794860667000001	15.876333667	12.716666667	5.500000001	4.436666667
OG0000478	31.234198003	274.997549367	368.962597701	595.3391407	67.105002003	29.43799067	25.871253003	47.241529997	73.37027566300002	52.45834233	34.804213667	34.696136331000005	23.033308	70.419976003	40.684000669999996	64.83333333	442.34999999900003	2.369999999
OG0000479	18.449474332	20.861042666	14.766333	18.946858333	34.834152666	18.330892999999996	21.170466331000004	17.866679331000004	41.521999337	23.979247667	15.913817333	15.588337000000001	6.715640334	4.3676640010000005	3.459572667	24.443333333000005	28.043333333	10.543333332
OG0000480	94.61173532999999	41.589389333	23.977850330000003	34.087941	37.894117	30.227705	17.434325002999998	99.013482337	386.66627633400003	119.86476703299999	81.302608666	27.950445337	13.524889001000002	9.216481	19.151960336000002	27.20666667	12.94666667	15.100000003000002
OG0000481	2.965832666	1.904896333	2.786626333	2.055715	2.8118253330000003	2.198384	2.4167303330000003	3.436136667	5.594752667	3.1248	2.716862	1.840536333	1.6857600000000001	0.9952653330000001	4.573843333	2.1033333339999998	0.83	0.853333333
OG0000482	8.339887667	5.996440334000001	9.616802333	8.514252332999998	7.982350999999999	6.737724333	9.507668666999999	7.321141333	26.276054333	6.1567353339999995	8.079891332999999	4.500929333	2.8876906669999998	14.766764332999998	10.003104666000002	2.073333333	1.613333333	1.703333333
OG0000483	26.147877666	41.20948399899999	48.022483	61.399737001000005	75.09679401	72.49852133599998	92.22046300400001	59.16102566	23.701642333000002	34.571463333	30.874769334	52.192146671	184.831903993	16.456177668000002	23.692408665	52.47000000599999	2.8933333340000003	2.77
OG0000484	12.771455999999999	18.367261	18.57939867	15.359551329999999	19.757934004	22.100697337	15.92344367	13.88506667	13.738467666000002	13.368261664	12.006100669999999	9.920115334	9.953055666	3.598184666	9.474950332999999	10.43	7.9066666670000005	7.0
OG0000485	27.639772663	35.234192997	39.902320997000004	26.191994003	36.388829	250.8304427	29.152758333	9.054902	0.580439334	13.66615067	20.389902337	8.395050000000001	2.844388	16.24448933	3.974968	29.116666667	8.23	10.850000003
OG0000486	62.69993934	133.725071003	187.49722703700002	147.584958333	252.86605536999997	129.808236	136.55647066999998	67.527654333	104.14094066000001	57.500613333000004	73.664648337	64.437179997	69.892917667	45.33367	78.51570999699999	60.15666667	36.876666666999995	41.066666667
OG0000487	319.0094477	127.75178533	164.05836267	110.582858	151.79928333	131.55654066	75.86329967	222.58601633	369.64727532999996	261.5659686	289.1798327	146.77987865999998	75.23856433	31.71326067	51.72222233	217.406666697	112.26	60.36666667
OG0000488	37.126345666	65.615491674	57.022569667	63.769160666	35.26341867	43.462976333	22.158809	199.858514296	19.082756330000002	39.976364997	29.435204	55.947790330000004	10.193127667	212.61630563299997	14.744555	14.446666665999999	44.366666667	30.676666667000003
